import time: self [us] | cumulative | imported package
import time:      1818 |       1818 |                                       torch._prims_common
import time:      1192 |       1192 |                                           torch.utils.backcompat
import time:      1226 |       1226 |                                           torch.utils.collect_env
import time:      1143 |       1143 |                                                   torch.utils._typing_utils
import time:      1346 |       1346 |                                                     torch.monitor
import time:       859 |        859 |                                                       torch.distributed.logging_handlers
import time:      1152 |       2010 |                                                     torch.distributed.c10d_logger
import time:       930 |        930 |                                                     torch.distributed.constants
import time:      1027 |       1027 |                                                     torch.distributed.rendezvous
import time:      2426 |       7736 |                                                   torch.distributed.distributed_c10d
import time:      1863 |      10742 |                                                 torch.distributed.device_mesh
import time:      1102 |       1102 |                                                 torch.distributed.remote_device
import time:      4044 |      15886 |                                               torch.distributed
import time:      1092 |       1092 |                                                               torch.utils.data.datapipes._hook_iterator
import time:      1406 |       2497 |                                                             torch.utils.data.datapipes._typing
import time:       984 |        984 |                                                               torch.utils._import_utils
import time:      1099 |       1099 |                                                                 torch.utils.data.datapipes.utils
import time:      1727 |       2826 |                                                               torch.utils.data.datapipes.utils.common
import time:      1332 |       1332 |                                                               torch.utils.data.dataset
import time:      1579 |       1579 |                                                                 dill.__info__
import time:      1068 |       1068 |                                                                   dill.logger
import time:      4011 |       4011 |                                                                   _pyio
import time:      1258 |       1258 |                                                                   dill._shims
import time:       869 |        869 |                                                                   dill.settings
import time:      3348 |      10551 |                                                                 dill._dill
import time:      4061 |       4061 |                                                                 dill.session
import time:      1579 |       1579 |                                                                   dill.pointers
import time:      1692 |       3271 |                                                                 dill.detect
import time:      2018 |       2018 |                                                                 dill.source
import time:      1804 |       1804 |                                                                 dill.temp
import time:       990 |        990 |                                                                 dill.objtypes
import time:      2017 |      26288 |                                                               dill
import time:      1644 |      33072 |                                                             torch.utils.data.datapipes.datapipe
import time:      1021 |      36588 |                                                           torch.utils.data.datapipes._decorator
import time:      1298 |       1298 |                                                             torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:      1370 |       2668 |                                                           torch.utils.data.datapipes.dataframe.structures
import time:      1522 |      40777 |                                                         torch.utils.data.datapipes.dataframe.dataframes
import time:      1182 |       1182 |                                                         torch.utils.data.datapipes.dataframe.datapipes
import time:      1189 |      43148 |                                                       torch.utils.data.datapipes.dataframe
import time:      1849 |       1849 |                                                               torch.utils.data._utils.collate
import time:      1222 |       1222 |                                                               torch.utils.data._utils.fetch
import time:      1159 |       1159 |                                                               torch.utils.data._utils.pin_memory
import time:      1101 |       1101 |                                                               torch.utils.data._utils.signal_handling
import time:      2262 |       2262 |                                                               torch.utils.data._utils.worker
import time:      1165 |       8756 |                                                             torch.utils.data._utils
import time:        29 |       8785 |                                                           torch.utils.data._utils.collate
import time:      1477 |      10261 |                                                         torch.utils.data.datapipes.iter.callable
import time:      1433 |       1433 |                                                           torch.utils.data.sampler
import time:      1749 |       3181 |                                                         torch.utils.data.datapipes.iter.combinatorics
import time:      1725 |       1725 |                                                         torch.utils.data.datapipes.iter.combining
import time:      1232 |       1232 |                                                           torch.utils.data.datapipes.iter.utils
import time:      1297 |       2529 |                                                         torch.utils.data.datapipes.iter.filelister
import time:      1288 |       1288 |                                                         torch.utils.data.datapipes.iter.fileopener
import time:      1233 |       1233 |                                                           torch.utils.data.datapipes.iter.sharding
import time:      1430 |       2663 |                                                         torch.utils.data.datapipes.iter.grouping
import time:      1084 |       1084 |                                                           torch.utils.data.datapipes.utils.decoder
import time:      1078 |       2162 |                                                         torch.utils.data.datapipes.iter.routeddecoder
import time:       986 |        986 |                                                         torch.utils.data.datapipes.iter.selecting
import time:       872 |        872 |                                                         torch.utils.data.datapipes.iter.streamreader
import time:      1246 |      26909 |                                                       torch.utils.data.datapipes.iter
import time:      1072 |       1072 |                                                         torch.utils.data.datapipes.map.callable
import time:       919 |        919 |                                                         torch.utils.data.datapipes.map.combinatorics
import time:       960 |        960 |                                                         torch.utils.data.datapipes.map.combining
import time:       785 |        785 |                                                         torch.utils.data.datapipes.map.grouping
import time:       783 |        783 |                                                         torch.utils.data.datapipes.map.utils
import time:       934 |       5450 |                                                       torch.utils.data.datapipes.map
import time:      1183 |      76688 |                                                     torch.utils.data.datapipes
import time:        15 |      76702 |                                                   torch.utils.data.datapipes.iter
import time:        17 |      76719 |                                                 torch.utils.data.datapipes.iter.sharding
import time:      1261 |       1261 |                                                 torch.utils.data.graph
import time:       894 |      78873 |                                               torch.utils.data.graph_settings
import time:      2446 |      97204 |                                             torch.utils.data.dataloader
import time:      1049 |       1049 |                                             torch.utils.data.distributed
import time:       983 |      99235 |                                           torch.utils.data
import time:       809 |        809 |                                           torch.utils.deterministic
import time:      1014 |       1014 |                                           torch.utils.hooks
import time:       938 |        938 |                                           torch.utils.backend_registration
import time:       827 |        827 |                                           torch.utils.cpp_backtrace
import time:      1537 |       1537 |                                           torch.utils.throughput_benchmark
import time:      1117 |     107890 |                                         torch.utils
import time:      1283 |       1283 |                                         torchgen
import time:      1131 |       1131 |                                             torchgen.code_template
import time:      1699 |       2829 |                                           torchgen.utils
import time:     13864 |      16693 |                                         torchgen.model
import time:      2480 |     128345 |                                       torch.utils._python_dispatch
import time:      2505 |     132668 |                                     torch.nn.modules.module
import time:      1276 |       1276 |                                           torch.distributed.rpc
import time:      1638 |       1638 |                                                       pickletools
import time:      1231 |       1231 |                                                       torch.package._digraph
import time:       815 |        815 |                                                       torch.package._importlib
import time:       972 |        972 |                                                       torch.package._mangling
import time:      1156 |       1156 |                                                         torch.package.importer
import time:      1275 |       2431 |                                                       torch.package._package_pickler
import time:       968 |        968 |                                                       torch.package._stdlib
import time:      1181 |       1181 |                                                       torch.package.find_file_dependencies
import time:       828 |        828 |                                                       torch.package.glob_group
import time:      2042 |      12103 |                                                     torch.package.package_exporter
import time:      1139 |      13242 |                                                   torch.package.analyze.find_first_use_of_broken_modules
import time:       852 |        852 |                                                   torch.package.analyze.trace_dependencies
import time:      1353 |      15446 |                                                 torch.package.analyze
import time:       927 |      16372 |                                               torch.package.analyze.is_from_package
import time:      1149 |       1149 |                                               torch.package.file_structure_representation
import time:      1137 |       1137 |                                                 torch.package._directory_reader
import time:       813 |        813 |                                                 torch.package._package_unpickler
import time:      1364 |       3313 |                                               torch.package.package_importer
import time:       964 |      21797 |                                             torch.package
import time:        23 |      21819 |                                           torch.package._mangling
import time:      1031 |       1031 |                                           torch._awaits
import time:      1157 |       1157 |                                           torch.futures
import time:      1666 |      26947 |                                         torch._jit_internal
import time:      2350 |       2350 |                                         torch._torch_docs
import time:      1168 |       1168 |                                         torch.nn._reduction
import time:       813 |        813 |                                           torch.nn.modules.utils
import time:       886 |       1698 |                                         torch.nn.grad
import time:      7641 |      39803 |                                       torch.nn.functional
import time:      1348 |       1348 |                                       torch.nn.init
import time:      1065 |       1065 |                                       torch.nn.modules.lazy
import time:      2165 |      44380 |                                     torch.nn.modules.linear
import time:      1585 |       1585 |                                     torch.nn.modules.activation
import time:      1795 |       1795 |                                       torch.nn.modules.container
import time:      1995 |       3789 |                                     torch.nn.modules.adaptive
import time:      5746 |       5746 |                                               torch.utils._pytree
import time:      1115 |       6860 |                                             torch._vmap_internals
import time:       876 |        876 |                                                 torch.utils._contextlib
import time:      1045 |       1921 |                                               torch.autograd.grad_mode
import time:      1270 |       3190 |                                             torch.autograd.forward_ad
import time:      1061 |       1061 |                                             torch.autograd.functional
import time:       840 |        840 |                                               torch.autograd.variable
import time:      1484 |       2324 |                                             torch.autograd.graph
import time:       721 |        721 |                                             torch.autograd.anomaly_mode
import time:      1083 |       1083 |                                               torch._functorch
import time:       897 |        897 |                                                     torch.utils._exposed_in
import time:       995 |       1891 |                                                   torch._functorch.utils
import time:       942 |        942 |                                                   torch._functorch.vmap
import time:       882 |       3715 |                                                 torch._functorch.apis
import time:      2206 |       2206 |                                                   torch._functorch.pyfunctorch
import time:      1936 |       4142 |                                                 torch._ops
import time:      1582 |       9437 |                                               torch._functorch.autograd_function
import time:      2306 |      12826 |                                             torch.autograd.function
import time:      1582 |       1582 |                                                 torch.testing._utils
import time:        88 |         88 |                                                   cmath
import time:      1597 |       1684 |                                                 torch.testing._comparison
import time:      1010 |       1010 |                                                 torch.testing._creation
import time:      1266 |       5540 |                                               torch.testing
import time:      7729 |      13268 |                                             torch.autograd.gradcheck
import time:      1588 |       1588 |                                               torch.autograd.profiler_util
import time:      1964 |       3552 |                                             torch.autograd.profiler
import time:      3267 |      47066 |                                           torch.autograd
import time:        20 |      47085 |                                         torch.autograd.function
import time:      1108 |      48193 |                                       torch.nn.modules._functions
import time:      1200 |      49392 |                                     torch.nn.modules.batchnorm
import time:      1184 |       1184 |                                     torch.nn.modules.channelshuffle
import time:      1521 |       1521 |                                       torch.nn.common_types
import time:      1664 |       3184 |                                     torch.nn.modules.conv
import time:      1080 |       1080 |                                     torch.nn.modules.distance
import time:      1002 |       1002 |                                     torch.nn.modules.dropout
import time:      1069 |       1069 |                                     torch.nn.modules.flatten
import time:      1125 |       1125 |                                     torch.nn.modules.fold
import time:       992 |        992 |                                     torch.nn.modules.instancenorm
import time:      1349 |       1349 |                                     torch.nn.modules.loss
import time:      1117 |       1117 |                                     torch.nn.modules.normalization
import time:      1175 |       1175 |                                     torch.nn.modules.padding
import time:       875 |        875 |                                     torch.nn.modules.pixelshuffle
import time:      1392 |       1392 |                                     torch.nn.modules.pooling
import time:       849 |        849 |                                               torch.__future__
import time:      1093 |       1941 |                                             torch.nn.utils.parametrize
import time:      1385 |       3326 |                                           torch.nn.utils.parametrizations
import time:      1318 |       1318 |                                           torch.nn.utils.rnn
import time:      1852 |       1852 |                                             torch.nn.utils._named_member_accessor
import time:      1187 |       3039 |                                           torch.nn.utils.stateless
import time:       904 |        904 |                                             torch.utils._foreach_utils
import time:      1070 |       1973 |                                           torch.nn.utils.clip_grad
import time:       868 |        868 |                                           torch.nn.utils.convert_parameters
import time:      1274 |       1274 |                                           torch.nn.utils.fusion
import time:       986 |        986 |                                           torch.nn.utils.init
import time:       866 |        866 |                                           torch.nn.utils.memory_format
import time:      1927 |       1927 |                                           torch.nn.utils.spectral_norm
import time:       974 |        974 |                                           torch.nn.utils.weight_norm
import time:      1173 |      17718 |                                         torch.nn.utils
import time:        20 |      17738 |                                       torch.nn.utils.rnn
import time:      3978 |      21716 |                                     torch.nn.modules.rnn
import time:      1277 |       1277 |                                     torch.nn.modules.sparse
import time:      1652 |       1652 |                                     torch.nn.modules.transformer
import time:      1008 |       1008 |                                     torch.nn.modules.upsampling
import time:      1484 |     274484 |                                   torch.nn.modules
import time:      1132 |       1132 |                                         torch.backends.cpu
import time:      1007 |       1007 |                                         torch.backends.cuda
import time:      1013 |       1013 |                                         torch.backends.cudnn
import time:       925 |        925 |                                         torch.backends.cusparselt
import time:       895 |        895 |                                         torch.backends.mha
import time:       888 |        888 |                                         torch.backends.mkl
import time:      1245 |       1245 |                                         torch.backends.mkldnn
import time:      1591 |       1591 |                                                 torch._library.utils
import time:      1541 |       3131 |                                               torch._library.autograd
import time:       824 |        824 |                                               torch._library.fake_impl
import time:       831 |        831 |                                               torch._library.simple_registry
import time:      1298 |       1298 |                                               torch._library.fake_class_registry
import time:      1092 |       1092 |                                                 torch._library.custom_ops
import time:      1379 |       1379 |                                                 torch._library.infer_schema
import time:       979 |       3449 |                                               torch._library.triton
import time:      1194 |      10724 |                                             torch._library
import time:      1853 |      12577 |                                           torch.library
import time:      1055 |      13632 |                                         torch.backends.mps
import time:       985 |        985 |                                         torch.backends.nnpack
import time:      1054 |       1054 |                                         torch.backends.openmp
import time:      1173 |       1173 |                                         torch.backends.quantized
import time:      1137 |      25082 |                                       torch.backends
import time:        58 |      25139 |                                     torch.backends.cuda
import time:      1143 |      26281 |                                   torch.nn.attention
import time:      1010 |       1010 |                                       torch.nn.parallel.parallel_apply
import time:      1176 |       1176 |                                           torch.cuda.nccl
import time:      1043 |       2218 |                                         torch.nn.parallel.comm
import time:       993 |       3211 |                                       torch.nn.parallel.replicate
import time:      1280 |       1280 |                                         torch.nn.parallel._functions
import time:      1208 |       2488 |                                       torch.nn.parallel.scatter_gather
import time:      1352 |       8059 |                                     torch.nn.parallel.data_parallel
import time:      1523 |       1523 |                                           torch.distributed.algorithms.join
import time:       870 |       2393 |                                         torch.distributed.algorithms
import time:        33 |       2425 |                                       torch.distributed.algorithms.join
import time:      1420 |       1420 |                                       torch.distributed.utils
import time:      2150 |       5995 |                                     torch.nn.parallel.distributed
import time:      1191 |      15244 |                                   torch.nn.parallel
import time:      1031 |     318388 |                                 torch.nn
import time:        20 |     318407 |                               torch.nn.functional
import time:      1190 |       1190 |                                 torch._linalg_utils
import time:       956 |       2146 |                               torch._lowrank
import time:      5506 |     326058 |                             torch.functional
import time:       863 |        863 |                             torch.__config__
import time:       991 |        991 |                               torch.accelerator._utils
import time:       991 |       1982 |                             torch.accelerator
import time:      1113 |       1113 |                                 torch.cpu.amp.autocast_mode
import time:       778 |        778 |                                 torch.cpu.amp.grad_scaler
import time:      1117 |       3006 |                               torch.cpu.amp
import time:      1152 |       4157 |                             torch.cpu
import time:      1385 |       1385 |                                 torch.distributions.constraints
import time:       929 |        929 |                                 torch.distributions.utils
import time:      1581 |       3895 |                               torch.distributions.transforms
import time:      1195 |       1195 |                                   torch.distributions.distribution
import time:       917 |       2111 |                                 torch.distributions.exp_family
import time:      1062 |       3172 |                               torch.distributions.bernoulli
import time:      1483 |       1483 |                                 torch.distributions.dirichlet
import time:       933 |       2416 |                               torch.distributions.beta
import time:      1133 |       1133 |                               torch.distributions.binomial
import time:      1198 |       1198 |                               torch.distributions.categorical
import time:      1602 |       1602 |                               torch.distributions.cauchy
import time:      1029 |       1029 |                                 torch.distributions.gamma
import time:       936 |       1964 |                               torch.distributions.chi2
import time:      1467 |       1467 |                               torch.distributions.constraint_registry
import time:      1074 |       1074 |                               torch.distributions.continuous_bernoulli
import time:       967 |        967 |                               torch.distributions.exponential
import time:      1326 |       1326 |                               torch.distributions.fishersnedecor
import time:      1099 |       1099 |                               torch.distributions.geometric
import time:      2046 |       2046 |                                   torch.distributions.independent
import time:      1088 |       3134 |                                 torch.distributions.transformed_distribution
import time:      1483 |       1483 |                                 torch.distributions.uniform
import time:      1076 |       5692 |                               torch.distributions.gumbel
import time:       876 |        876 |                               torch.distributions.half_cauchy
import time:      1108 |       1108 |                                 torch.distributions.normal
import time:       914 |       2022 |                               torch.distributions.half_normal
import time:       996 |        996 |                               torch.distributions.inverse_gamma
import time:      1549 |       1549 |                                 torch.distributions.laplace
import time:      1212 |       1212 |                                   torch.distributions.multivariate_normal
import time:      1131 |       2342 |                                 torch.distributions.lowrank_multivariate_normal
import time:       922 |        922 |                                 torch.distributions.one_hot_categorical
import time:      1252 |       1252 |                                 torch.distributions.pareto
import time:      1058 |       1058 |                                 torch.distributions.poisson
import time:      1760 |       8882 |                               torch.distributions.kl
import time:       907 |        907 |                               torch.distributions.kumaraswamy
import time:       837 |        837 |                               torch.distributions.lkj_cholesky
import time:       856 |        856 |                               torch.distributions.log_normal
import time:       854 |        854 |                               torch.distributions.logistic_normal
import time:       889 |        889 |                               torch.distributions.mixture_same_family
import time:       907 |        907 |                               torch.distributions.multinomial
import time:       858 |        858 |                               torch.distributions.negative_binomial
import time:       867 |        867 |                               torch.distributions.relaxed_bernoulli
import time:       860 |        860 |                               torch.distributions.relaxed_categorical
import time:       828 |        828 |                               torch.distributions.studentT
import time:      1221 |       1221 |                                     torch.jit._builtins
import time:      1195 |       1195 |                                     torch.distributed.autograd
import time:      2170 |       4586 |                                   torch.jit._async
import time:      1110 |       1110 |                                   torch.jit._await
import time:       844 |        844 |                                   torch.jit._decomposition_utils
import time:       978 |        978 |                                       torch._classes
import time:       896 |        896 |                                       torch.jit._fuser
import time:       467 |        467 |                                         monkeytype
import time:       882 |       1349 |                                       torch.jit._monkeytype_config
import time:       875 |        875 |                                         torch.jit._check
import time:       949 |        949 |                                         torch.jit._state
import time:       947 |        947 |                                           torch.jit.annotations
import time:       860 |        860 |                                           torch.jit._dataclass_impls
import time:       431 |        431 |                                           astunparse
import time:      1366 |       3602 |                                         torch.jit.frontend
import time:      1350 |       6774 |                                       torch.jit._recursive
import time:       815 |        815 |                                       torch.jit._serialization
import time:      1893 |      12703 |                                     torch.jit._script
import time:      1026 |      13728 |                                   torch.jit._freeze
import time:       831 |        831 |                                   torch.jit._ir_utils
import time:      1995 |       1995 |                                   torch.jit._trace
import time:      1053 |      24144 |                                 torch.jit
import time:       871 |      25015 |                               torch.distributions.von_mises
import time:       885 |        885 |                               torch.distributions.weibull
import time:       993 |        993 |                               torch.distributions.wishart
import time:      2377 |      77703 |                             torch.distributions
import time:      1024 |       1024 |                             torch.fft
import time:      1142 |       1142 |                             torch.hub
import time:      1175 |       1175 |                             torch.linalg
import time:       970 |        970 |                               torch.mps.profiler
import time:       914 |        914 |                               torch.mps.event
import time:       991 |       2875 |                             torch.mps
import time:       979 |        979 |                               torch.mtia._utils
import time:       866 |        866 |                               torch.mtia.memory
import time:      1909 |       3754 |                             torch.mtia
import time:       920 |        920 |                                 multiprocessing.util
import time:      1007 |       1007 |                                 multiprocessing.resource_sharer
import time:      1178 |       3103 |                               torch.multiprocessing.reductions
import time:       961 |        961 |                                   _multiprocessing
import time:      1058 |       2018 |                                 multiprocessing.connection
import time:       950 |       2968 |                               torch.multiprocessing.spawn
import time:      1193 |       7263 |                             torch.multiprocessing
import time:      1042 |       1042 |                                 torch.nested._internal
import time:       810 |        810 |                                           torch.fx._compatibility
import time:      1059 |       1059 |                                                   torch.return_types
import time:       963 |       2021 |                                                 torch.fx._pytree
import time:      1573 |       1573 |                                                   torch.fx.operator_schemas
import time:       961 |        961 |                                                   torch.fx.immutable_collections
import time:      7451 |       9984 |                                                 torch.fx.node
import time:      2985 |      14990 |                                               torch.fx.graph
import time:      1176 |      16165 |                                             torch.fx.graph_module
import time:       943 |      17107 |                                           torch.fx._lazy_graph_module
import time:      1249 |       1249 |                                             torch.fx.traceback
import time:       939 |        939 |                                             torch.utils._traceback
import time:      1595 |       3783 |                                           torch.fx.proxy
import time:      1987 |      23686 |                                         torch.fx._symbolic_trace
import time:      1164 |       1164 |                                           torch.fx.config
import time:      1552 |       2715 |                                         torch.fx.interpreter
import time:      1809 |       1809 |                                         torch.fx.subgraph_rewriter
import time:       945 |      29154 |                                       torch.fx
import time:      1035 |      30188 |                                     torch.fx.experimental
import time:      1447 |      31635 |                                   torch.fx.experimental._constant_symnode
import time:       822 |      32456 |                                 torch.nested._internal.nested_int
import time:       932 |        932 |                                 torch.utils.weak
import time:      1281 |      35710 |                               torch.nested._internal.nested_tensor
import time:      1141 |      36850 |                             torch.nested
import time:      2476 |       2476 |                                 torch.optim.optimizer
import time:      2254 |       4730 |                               torch.optim.lr_scheduler
import time:      1470 |       1470 |                               torch.optim.swa_utils
import time:      1443 |       1443 |                               torch.optim._adafactor
import time:      1016 |       1016 |                               torch.optim.adadelta
import time:       975 |        975 |                               torch.optim.adagrad
import time:       905 |        905 |                               torch.optim.adam
import time:      1189 |       1189 |                               torch.optim.adamax
import time:      1000 |       1000 |                               torch.optim.adamw
import time:       896 |        896 |                               torch.optim.asgd
import time:      1044 |       1044 |                               torch.optim.lbfgs
import time:      1068 |       1068 |                               torch.optim.nadam
import time:       961 |        961 |                               torch.optim.radam
import time:      1280 |       1280 |                               torch.optim.rmsprop
import time:      1361 |       1361 |                               torch.optim.rprop
import time:       902 |        902 |                               torch.optim.sgd
import time:       970 |        970 |                                 torch.optim._functional
import time:       961 |       1931 |                               torch.optim.sparse_adam
import time:      1142 |      23305 |                             torch.optim
import time:      2195 |       2195 |                                   torch.profiler._utils
import time:      5713 |       7907 |                                 torch.profiler._memory_profiler
import time:      1518 |       9425 |                               torch.profiler.profiler
import time:      1070 |       1070 |                               torch.profiler.itt
import time:       967 |      11460 |                             torch.profiler
import time:      1146 |       1146 |                             torch.special
import time:       995 |        995 |                               torch.xpu._utils
import time:       994 |        994 |                               torch.xpu.streams
import time:      1107 |       1107 |                               torch.xpu.memory
import time:       904 |        904 |                               torch.xpu.random
import time:      1488 |       5486 |                             torch.xpu
import time:      1135 |       1135 |                                 torch.signal.windows.windows
import time:     26213 |      27348 |                               torch.signal.windows
import time:       889 |      28237 |                             torch.signal
import time:       948 |        948 |                             torch.ao
import time:      1221 |       1221 |                                 torch.ao.nn
import time:      1539 |       1539 |                                   torch.ao.nn.intrinsic.modules.fused
import time:      1239 |       2777 |                                 torch.ao.nn.intrinsic.modules
import time:      1239 |       5236 |                               torch.ao.nn.intrinsic
import time:       978 |        978 |                                 torch.nn.intrinsic.modules.fused
import time:      1148 |       2125 |                               torch.nn.intrinsic.modules
import time:      1249 |       1249 |                                               torch.ao.nn.qat.modules.conv
import time:       939 |        939 |                                               torch.ao.nn.qat.modules.embedding_ops
import time:       802 |        802 |                                               torch.ao.nn.qat.modules.linear
import time:      1491 |       4479 |                                             torch.ao.nn.qat.modules
import time:      1190 |       5669 |                                           torch.ao.nn.qat
import time:      1743 |       7411 |                                         torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       974 |        974 |                                         torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       825 |        825 |                                         torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:      1894 |      11103 |                                       torch.ao.nn.intrinsic.qat.modules
import time:      1018 |      12120 |                                     torch.ao.nn.intrinsic.qat
import time:      1037 |      13157 |                                   torch.nn.intrinsic.qat.modules.conv_fused
import time:       846 |        846 |                                   torch.nn.intrinsic.qat.modules.linear_fused
import time:       881 |        881 |                                   torch.nn.intrinsic.qat.modules.linear_relu
import time:      1388 |      16270 |                                 torch.nn.intrinsic.qat.modules
import time:      1044 |      17314 |                               torch.nn.intrinsic.qat
import time:      1677 |       1677 |                                                           torch.ao.nn.quantizable.modules.activation
import time:      1074 |       1074 |                                                           torch.ao.nn.quantizable.modules.rnn
import time:      1024 |       3774 |                                                         torch.ao.nn.quantizable.modules
import time:       791 |       4564 |                                                       torch.ao.nn.quantizable
import time:      1306 |       1306 |                                                       torch.ao.nn.quantized.modules.activation
import time:      1666 |       1666 |                                                       torch.ao.nn.quantized.modules.batchnorm
import time:      1128 |       1128 |                                                         torch.ao.nn.quantized.modules.utils
import time:      2041 |       3169 |                                                       torch.ao.nn.quantized.modules.conv
import time:       902 |        902 |                                                       torch.ao.nn.quantized.modules.dropout
import time:       917 |        917 |                                                       torch.ao.nn.quantized.modules.embedding_ops
import time:       858 |        858 |                                                       torch.ao.nn.quantized.modules.functional_modules
import time:       796 |        796 |                                                       torch.ao.nn.quantized.modules.linear
import time:       955 |        955 |                                                       torch.ao.nn.quantized.modules.normalization
import time:       906 |        906 |                                                       torch.ao.nn.quantized.modules.rnn
import time:      1057 |      17092 |                                                     torch.ao.nn.quantized.modules
import time:        19 |      17110 |                                                   torch.ao.nn.quantized.modules.utils
import time:      1163 |      18273 |                                                 torch.ao.nn.quantized.functional
import time:      1160 |      19432 |                                               torch.ao.nn.quantized
import time:      1433 |      20865 |                                             torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       823 |        823 |                                             torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       791 |        791 |                                             torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       788 |        788 |                                             torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:      1125 |      24391 |                                           torch.ao.nn.intrinsic.quantized.modules
import time:       899 |      25289 |                                         torch.ao.nn.intrinsic.quantized
import time:      1435 |       1435 |                                                 torch.ao.nn.quantized.dynamic.modules.conv
import time:      1011 |       1011 |                                                 torch.ao.nn.quantized.dynamic.modules.linear
import time:      1192 |       1192 |                                                 torch.ao.nn.quantized.dynamic.modules.rnn
